"","SoortMisdrijf","SoortMisdrijf_label","WijkenEnBuurten","WijkenEnBuurten_label","Perioden","Perioden_Date","Perioden_freq","Perioden_label","GeregistreerdeMisdrijven_1","Gemeentenaam_2","SoortRegio_3"
"1790","0.0.0 ","Totaal misdrijven","BU03080501","Verspreide huizen Lage Vuursche","2023JJ00",2023-01-01,"Y","2023",13,"Baarn                         ","Buurt   "
"1791","0.0.0 ","Totaal misdrijven","BU04890101","Centrum","2023JJ00",2023-01-01,"Y","2023",75,"Barendrecht                   ","Buurt   "
"1792","0.0.0 ","Totaal misdrijven","BU04890102","Centrum Oost","2023JJ00",2023-01-01,"Y","2023",10,"Barendrecht                   ","Buurt   "
"1793","0.0.0 ","Totaal misdrijven","BU04890103","Centrum West","2023JJ00",2023-01-01,"Y","2023",30,"Barendrecht                   ","Buurt   "
"1794","0.0.0 ","Totaal misdrijven","BU04890204","Noord 1","2023JJ00",2023-01-01,"Y","2023",92,"Barendrecht                   ","Buurt   "
"1795","0.0.0 ","Totaal misdrijven","BU04890205","Noord 2","2023JJ00",2023-01-01,"Y","2023",13,"Barendrecht                   ","Buurt   "
"1796","0.0.0 ","Totaal misdrijven","BU04890206","Noord 3","2023JJ00",2023-01-01,"Y","2023",32,"Barendrecht                   ","Buurt   "
"1797","0.0.0 ","Totaal misdrijven","BU04890207","Noord 4","2023JJ00",2023-01-01,"Y","2023",37,"Barendrecht                   ","Buurt   "
"1798","0.0.0 ","Totaal misdrijven","BU04890308","Binnenland","2023JJ00",2023-01-01,"Y","2023",23,"Barendrecht                   ","Buurt   "
"1799","0.0.0 ","Totaal misdrijven","BU04890409","Oranjewijk 1","2023JJ00",2023-01-01,"Y","2023",122,"Barendrecht                   ","Buurt   "
"1800","0.0.0 ","Totaal misdrijven","BU04890410","Oranjewijk 2","2023JJ00",2023-01-01,"Y","2023",9,"Barendrecht                   ","Buurt   "
"1801","0.0.0 ","Totaal misdrijven","BU04890511","Buitenoord 1","2023JJ00",2023-01-01,"Y","2023",14,"Barendrecht                   ","Buurt   "
"1802","0.0.0 ","Totaal misdrijven","BU04890512","Buitenoord 2","2023JJ00",2023-01-01,"Y","2023",39,"Barendrecht                   ","Buurt   "
"1803","0.0.0 ","Totaal misdrijven","BU04890513","Buitenoord 3","2023JJ00",2023-01-01,"Y","2023",7,"Barendrecht                   ","Buurt   "
"1804","0.0.0 ","Totaal misdrijven","BU04890614","Ter Leede","2023JJ00",2023-01-01,"Y","2023",22,"Barendrecht                   ","Buurt   "
"1805","0.0.0 ","Totaal misdrijven","BU04890715","Paddewei","2023JJ00",2023-01-01,"Y","2023",47,"Barendrecht                   ","Buurt   "
"1806","0.0.0 ","Totaal misdrijven","BU04890816","Molenvliet 1","2023JJ00",2023-01-01,"Y","2023",32,"Barendrecht                   ","Buurt   "
"1807","0.0.0 ","Totaal misdrijven","BU04890817","Molenvliet 2","2023JJ00",2023-01-01,"Y","2023",12,"Barendrecht                   ","Buurt   "
"1808","0.0.0 ","Totaal misdrijven","BU04890918","Nieuweland 1","2023JJ00",2023-01-01,"Y","2023",21,"Barendrecht                   ","Buurt   "
"1809","0.0.0 ","Totaal misdrijven","BU04890919","Nieuweland 2","2023JJ00",2023-01-01,"Y","2023",12,"Barendrecht                   ","Buurt   "
"1810","0.0.0 ","Totaal misdrijven","BU04890920","Nieuweland 3","2023JJ00",2023-01-01,"Y","2023",28,"Barendrecht                   ","Buurt   "
"1811","0.0.0 ","Totaal misdrijven","BU04890921","Nieuweland 4","2023JJ00",2023-01-01,"Y","2023",4,"Barendrecht                   ","Buurt   "
"1812","0.0.0 ","Totaal misdrijven","BU04890922","Nieuweland 5","2023JJ00",2023-01-01,"Y","2023",19,"Barendrecht                   ","Buurt   "
"1813","0.0.0 ","Totaal misdrijven","BU04891023","Dorpzicht","2023JJ00",2023-01-01,"Y","2023",24,"Barendrecht                   ","Buurt   "
"1814","0.0.0 ","Totaal misdrijven","BU04891124","Bijdorp","2023JJ00",2023-01-01,"Y","2023",35,"Barendrecht                   ","Buurt   "
"1815","0.0.0 ","Totaal misdrijven","BU04891225","Smitshoek","2023JJ00",2023-01-01,"Y","2023",11,"Barendrecht                   ","Buurt   "
"1816","0.0.0 ","Totaal misdrijven","BU04891226","Smitshoek 1","2023JJ00",2023-01-01,"Y","2023",11,"Barendrecht                   ","Buurt   "
"1817","0.0.0 ","Totaal misdrijven","BU04891227","Smitshoek 2","2023JJ00",2023-01-01,"Y","2023",7,"Barendrecht                   ","Buurt   "
"1818","0.0.0 ","Totaal misdrijven","BU04891328","Voordijk","2023JJ00",2023-01-01,"Y","2023",21,"Barendrecht                   ","Buurt   "
"1819","0.0.0 ","Totaal misdrijven","BU04891429","Meerwede Noordoost","2023JJ00",2023-01-01,"Y","2023",19,"Barendrecht                   ","Buurt   "
"1820","0.0.0 ","Totaal misdrijven","BU04891430","Meerwede Noordwest","2023JJ00",2023-01-01,"Y","2023",23,"Barendrecht                   ","Buurt   "
"1821","0.0.0 ","Totaal misdrijven","BU04891431","Meerwede Zuidoost","2023JJ00",2023-01-01,"Y","2023",35,"Barendrecht                   ","Buurt   "
"1822","0.0.0 ","Totaal misdrijven","BU04891432","Meerwede Zuidwest","2023JJ00",2023-01-01,"Y","2023",35,"Barendrecht                   ","Buurt   "
"1823","0.0.0 ","Totaal misdrijven","BU04891533","Waterkant","2023JJ00",2023-01-01,"Y","2023",62,"Barendrecht                   ","Buurt   "
