naam,nummer,bevolking,misdaad,buurten,gini_misdaad,provincie
Vught,0865,32355,824,23,0.5,Noord-Brabant
Waadhoeke,1949,46880,776,102,0.59,Friesland
Waalre,0866,17990,402,5,0.33,Noord-Brabant
Waalwijk,0867,50305,1224,23,0.48,Noord-Brabant
Waddinxveen,0627,34000,755,22,0.47,Zuid-Holland
Wageningen,0289,42595,1200,33,0.54,Gelderland
Wassenaar,0629,27105,712,21,0.51,Zuid-Holland
Waterland,0852,17510,336,19,0.52,Noord-Holland
Weert,0988,51090,1720,38,0.67,Limburg
West Betuwe,1960,52925,1192,66,0.48,Gelderland
West Maas en Waal,0668,20325,364,16,0.59,Gelderland
Westerkwartier,1969,64890,1028,80,0.69,Groningen
Westerveld,1701,20020,255,45,0.68,Drenthe
Westervoort,0293,15150,280,6,0.55,Gelderland
Westerwolde,1950,26445,1110,59,0.82,Groningen
Westland,1783,115930,2781,77,0.42,Zuid-Holland
Weststellingwerf,0098,26470,489,64,0.62,Friesland
Wierden,0189,24915,392,28,0.49,Overijssel
Wijchen,0296,41565,1037,60,0.64,Gelderland
Wijdemeren,1696,24605,449,17,0.58,Noord-Holland
Wijk bij Duurstede,0352,23945,336,18,0.33,Utrecht
Winterswijk,0294,29235,715,17,0.75,Gelderland
Woensdrecht,0873,22215,508,16,0.61,Noord-Brabant
Woerden,0632,53725,1436,31,0.59,Utrecht
Wormerland,0880,16550,229,14,0.64,Noord-Holland
Woudenberg,0351,14640,269,12,0.4,Utrecht
Zaanstad,0479,161390,5200,79,0.53,Noord-Holland
Zaltbommel,0297,30385,903,27,0.65,Gelderland
Zandvoort,0473,17475,899,19,0.5,Noord-Holland
Zeewolde,0050,23890,499,11,0.45,Flevoland
Zeist,0355,66645,1926,35,0.52,Utrecht
Zevenaar,0299,45020,875,40,0.58,Gelderland
Zoetermeer,0637,128440,3849,26,0.48,Zuid-Holland
Zoeterwoude,0638,9740,191,20,0.42,Zuid-Holland
Zuidplas,1892,47845,1119,53,0.55,Zuid-Holland
Zundert,0879,22550,392,11,0.43,Noord-Brabant
Zutphen,0301,48760,2039,31,0.44,Gelderland
Zwartewaterland,1896,23455,288,34,0.47,Overijssel
Zwijndrecht,0642,44895,1301,92,0.54,Zuid-Holland
Zwolle,0193,133160,5376,78,0.59,Overijssel
